lead_id,age,gender,platform,ad_type,interest_level,time_to_contact_hours,num_followups,product_category,lead_source,converted
1,56,Male,Instagram,Video,High,9.89,4,Beauty,Paid,1
2,46,Male,Instagram,Image,Medium,107.22,4,Beauty,Organic,0
3,32,Female,Instagram,Carousel,High,0.61,2,Finance,Paid,1
4,25,Female,Facebook,Video,High,6.99,1,Beauty,Paid,1
5,38,Male,TikTok,Carousel,Medium,17.62,1,Beauty,Paid,0
6,56,Female,Facebook,Carousel,Low,17.71,3,Beauty,Paid,0
7,36,Male,Facebook,Carousel,High,21.34,0,Finance,Organic,1
8,40,Male,Instagram,Carousel,Medium,33.43,1,Beauty,Organic,0
9,28,Male,Facebook,Video,Low,23.44,4,Beauty,Organic,0
10,28,Male,Facebook,Image,Low,22.01,0,Health,Paid,0
11,41,Female,Instagram,Video,Medium,1.32,0,Finance,Paid,0
12,53,Female,Facebook,Video,High,11.34,2,Beauty,Organic,1
13,57,Female,Instagram,Video,High,6.34,1,Health,Organic,1
14,41,Male,Instagram,Image,Medium,7.4,2,Finance,Paid,0
15,20,Male,Instagram,Carousel,Low,19.4,1,Finance,Organic,0
16,39,Male,Instagram,Carousel,Low,5.34,3,Finance,Organic,1
17,19,Female,Facebook,Carousel,High,8.35,2,Finance,Paid,1
18,41,Male,Instagram,Image,Low,6.49,2,Finance,Organic,1
19,47,Female,Instagram,Carousel,Low,71.19,4,Finance,Paid,0
20,55,Female,Facebook,Image,Low,69.46,2,Beauty,Organic,0
21,19,Female,Facebook,Carousel,Medium,22.6,1,Beauty,Paid,0
22,38,Female,TikTok,Carousel,High,62.01,4,Beauty,Paid,1
23,50,Female,Facebook,Video,Low,36.98,2,Beauty,Paid,0
24,29,Female,Facebook,Image,Medium,21.4,2,Health,Paid,0
25,39,Male,TikTok,Video,Medium,0.15,3,Beauty,Paid,1
26,42,Male,Facebook,Video,High,35.54,2,Finance,Organic,1
27,44,Female,Facebook,Video,Low,29.1,0,Beauty,Organic,0
28,59,Female,Facebook,Image,Medium,22.92,4,Beauty,Organic,1
29,45,Male,Facebook,Image,Low,34.29,0,Finance,Paid,0
30,33,Female,TikTok,Carousel,High,17.26,4,Beauty,Organic,1
